id,price, diagonal, cpu, rom, ram, camera, battery, ppi
Alcatel OT-5045D Pixi 4 (5")  White                         ,   5090.00,     5.0,    1.30,     8.0,    1024,       8,    2000,     195
Xiaomi Redmi Note 4 (64GB)  Grey                            ,  16890.00,     5.5,    2.00,    64.0,    4096,      13,    4100,     400
Highscreen Razar  Blue                                      ,   7290.00,     5.0,    1.45,    16.0,    2048,       8,    2500,     293
ASUS ZenFone 3 Max ZC553KL  Silver (90AX00D3-M00300)        ,  16990.00,     5.5,    1.40,    32.0,    2048,      16,    4100,     400
BQ Aquaris U Plus 32GB  Black Anthracite Gray               ,  12490.00,     5.0,    1.40,    32.0,    3072,      16,    3080,     293
Apple iPhone SE 128GB  Silver                               ,  27989.80,     4.0,    1.80,     8.0,    2048,      12,    1642,     325
Apple iPhone 6s Plus 128GB  Gold                            ,  51990.00,     5.5,    1.80,     8.0,    2048,      12,    2750,     400
Samsung SM-A510F Galaxy A5  Black                           ,  19990.00,     5.2,    1.60,    16.0,    2048,      13,    2900,     423
Archos 50e Helium                                           ,   8490.00,     5.0,    1.10,     8.0,    1024,       8,    2100,     293
Yezz Andy 4.5EL LTE  Black                                  ,   3989.90,     4.5,    1.00,     4.0,    1024,       5,    2000,     217
Keneksi Helios  Gold                                        ,   7090.00,     5.5,    1.00,    16.0,    1024,       8,    2650,     267
Digma Vox S501 3G  Graphite                                 ,   5190.00,     5.0,    1.20,     8.0,    1024,       8,    2000,     293
Apple iPhone 7 Plus 128GB  Silver                           ,  58991.40,     5.5,    2.37,     8.0,    3072,      12,    2900,     400
Sony Xperia E5  Graphite Black                              ,   9989.50,     5.0,    1.30,    16.0,    1536,      13,    2300,     293
Meizu U20 16GB  Rose Gold                                   ,  11990.00,     5.5,    1.80,    16.0,    2048,      13,    3260,     400
ZTE Blade A610 Plus  Gold                                   ,  13290.00,     5.5,    1.50,    16.0,    2048,      13,    5000,     400
Highscreen Razar  Red Orange                                ,   7290.00,     5.0,    1.45,    16.0,    2048,       8,    2500,     293
ASUS ZenFone 3 Deluxe ZS570KL  Gold (90AZ0161-M00110)       ,  42890.00,     5.7,    2.15,    64.0,    6144,      23,    3000,     386
Black Fox BMM 541S  Silver                                  ,   4889.00,     5.0,    1.00,     8.0,    1024,       5,    2400,     293
HTC U Ultra 128GB  Brilliant Black                          ,  39990.00,     5.7,    2.15,     8.0,    4096,      12,    3000,     515
Apple iPhone 6s Plus 128GB  Rose                            ,  51990.00,     5.5,    1.80,     8.0,    2048,      12,    2750,     400
Samsung SM-A510F Galaxy A5  Gold                            ,  19990.00,     5.2,    1.60,    16.0,    2048,      13,    2900,     423
Archos Diamond Plus                                         ,  11193.00,     5.5,    1.30,    16.0,    2048,      16,    2850,     400
Yezz Andy 5EI3  Black                                       ,   3489.80,     5.0,    1.00,     4.0,     512,       5,    2000,     195
HTC Desire 530  Dark Gray                                   ,   8890.00,     5.0,    1.10,    16.0,    1536,       8,    2200,     293
Digma Linx A400 3G  White                                   ,   3059.00,     4.0,    1.20,     4.0,     256,       2,    1400,     233
Apple iPhone 7 Plus 128GB  Jet Black                        ,  58991.40,     5.5,    2.37,     8.0,    3072,      12,    2900,     400
Sony Xperia E5  White                                       ,   9989.50,     5.0,    1.30,    16.0,    1536,      13,    2300,     293
Xiaomi Mi 5 (32GB)  White                                   ,  22990.00,     5.2,    1.80,    32.0,    3072,      16,    3000,     427
Samsung SM-A520F Galaxy A5 (2017)  Gold                     ,  24990.00,     5.2,    1.90,    32.0,    3072,      16,    3000,     423
Highscreen Razar Pro  Gray                                  ,   8990.00,     5.0,    1.45,    16.0,    3072,      13,    2500,     293
ASUS ZenFone 3 Deluxe ZS570KL  Silver (90AZ0164-M00130)     ,  35992.00,     5.7,    2.15,    64.0,    6144,      23,    3000,     386
Black Fox BMM 542S  Silver                                  ,   6490.00,     5.5,    1.30,    16.0,    1024,       8,    2700,     267
BQ 4526 Fox  Champagne Gold                                 ,   3790.00,     4.5,    1.20,     8.0,    1024,       5,    1500,     217
Apple iPhone 6s 128GB  Silver                               ,  42990.30,     4.7,    1.80,     8.0,    2048,      12,    1715,     325
Samsung SM-A510F Galaxy A5  White                           ,  19990.00,     5.2,    1.60,    16.0,    2048,      13,    2900,     423
Archos Diamond S                                            ,  11123.00,     5.0,    1.30,    16.0,    2048,      16,    2300,     293
Yezz Andy 5EL LTE  Black                                    ,   3989.90,     5.0,    1.00,     8.0,    1024,       5,    2100,     195
HTC Desire 530  Stratus White                               ,   8890.00,     5.0,    1.10,    16.0,    1536,       8,    2200,     293
Digma Vox S501 3G  White                                    ,   5190.00,     5.0,    1.20,     8.0,    1024,       8,    2000,     293
Apple iPhone 7 Plus 256GB  Rose Gold                        ,  64991.60,     5.5,    2.37,   256.0,    3072,      12,    2900,     400
Apple iPhone 6s Plus 32GB  Grey                             ,  41988.50,     5.5,    1.80,    32.0,    2048,      12,    2750,     400
Moto Z Play  Black Silver                                   ,  29990.00,     5.5,    2.00,    32.0,    3072,      16,    3510,     400
Samsung SM-A520F Galaxy A5 (2017)  Black                    ,  24990.00,     5.2,    1.90,    32.0,    3072,      16,    3000,     423
Samsung SM-A320F Galaxy A3 (2017)  Black                    ,  17989.00,     4.7,    1.90,    16.0,    2048,      13,    2350,     312
Doogee Shoot 1  Black                                       ,   8990.00,     5.5,    1.45,    16.0,    2048,      13,    3300,     400
Samsung Galaxy S8 SM-G950  Amethyst                         ,  49991.40,     5.8,    2.30,    64.0,    4096,      12,    3000,     567
BQ 4526 Fox  Space Silver                                   ,   3790.00,     4.5,    1.20,     8.0,    1024,       5,    1500,     217
Apple iPhone 6s 128GB  Gold                                 ,  42990.30,     4.7,    1.80,     8.0,    2048,      12,    1715,     325
BQ Aquaris X5  Black Anthracite Grey                        ,  17999.00,     5.0,    1.40,    16.0,    2048,      13,    2900,     293
Samsung SM-J710FN Galaxy J7  Gold                           ,  15990.00,     5.5,    1.90,    16.0,    2048,      13,    3300,     267
Samsung SM-J510FN Galaxy J5 (2016)  White                   ,  13990.00,     5.2,    1.20,    16.0,    2048,      13,    3100,     282
